pdb_id,split,component_id,n_chains,n_clusters,clusters
5b66,train,0,38,19,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7n8o__V;7pi0__M;8c29__V;8eqm__t;8eqm__u;8kde__D;8wb4__Z;8wb4__o;8xr6__J
5b6v,test,3,3,1,8rss__A
5b6w,test,3,3,1,8rss__A
5b6x,test,3,3,1,8rss__A
5b6y,test,3,3,1,8rss__A
5b6z,test,3,3,1,8rss__A
5bkf,train,0,5,1,6x3s__E
5bkg,train,0,5,1,6x3s__E
5bki,train,70,8,2,5bki__B;6u68__A
5bkj,train,70,8,2,5bki__B;6u68__A
5bkk,train,70,8,2,5bki__B;6u68__A
5bn2,train,0,4,1,5i32__A
5bps,val,1,10,1,8ap9__O
5bq6,val,1,10,1,8ap9__O
5bqa,val,1,10,1,8ap9__O
5bqg,train,20,2,1,6ssw__B
5bqh,train,20,2,1,6ssw__B
5bqi,train,20,2,1,6ssw__B
5bqj,val,1,10,1,8ap9__O
5br2,test,3,3,1,8rss__A
5br5,test,3,3,1,8rss__A
5but,train,114,6,2,5but__I;8k1u__E
5bz2,train,360,2,1,4bwz__A
5bz3,train,360,2,1,4bwz__A
5bzb,train,59,4,1,4x8a__B
5c02,train,57,4,1,2ly0__A
5c2t,val,11,4,4,3vr8__C;3vr8__D;4ysx__A;6lum__Q
5c3j,val,11,4,4,3vr8__C;3vr8__D;4ysx__A;6lum__Q
5c5x,train,0,4,1,5i32__A
5c6p,train,41,2,2,4huk__A;6bx5__C
5c73,train,195,6,1,5c73__C
5c76,train,195,2,1,5c73__C
5c78,train,195,2,1,5c73__C
5cbf,train,264,4,1,5cbf__A
5cbg,train,264,4,1,5cbf__A
5cbh,train,264,4,1,5cbf__A
5cfb,train,0,5,1,6x3s__E
5cfy,train,0,3,1,9bh0__A
5ch4,train,0,3,3,3din__C;5ch4__E;5ch4__G
5ckr,train,115,2,1,5jnq__B
5ctg,train,359,3,1,5ctg__B
5cth,train,359,3,1,5ctg__B
5d0y,train,68,2,1,4huq__S
5d3m,train,68,4,3,4huq__S;4rfs__T;5x3x__b
5d56,train,48,3,1,7dvm__A
5d57,train,48,3,1,7dvm__A
5d6i,train,48,3,1,7dvm__A
5d92,train,162,2,1,6wm5__A
5djq,train,0,4,4,5djq__N;6xkw__p;8smr__E;8smr__F
5dn6,val,1,23,8,5dn6__H;5dn6__I;5dn6__J;5dn6__X;5dn6__Z;6rd4__S;6rd4__T;6rd4__X
5do7,train,0,2,1,8bi0__B
5doq,train,358,3,3,5ir6__A;5ir6__B;5ir6__C
5dqq,train,0,2,1,7fhk__A
5duo,train,126,2,1,4uc1__A
5dwk,train,48,2,1,7dvm__A
5dwy,train,0,3,1,9bh0__A
5dye,train,0,4,1,5i32__A
5e1a,val,6,4,1,4msw__C
5e1j,train,0,2,1,7fhk__A
5e79,train,0,38,19,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7n8o__V;7pi0__M;8c29__V;8eqm__t;8eqm__u;8kde__D;8wb4__Z;8wb4__o;8xr6__J
5e7c,train,0,38,19,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7n8o__V;7pi0__M;8c29__V;8eqm__t;8eqm__u;8kde__D;8wb4__Z;8wb4__o;8xr6__J
5e9s,train,0,3,1,9bh0__A
5ebl,val,6,4,1,4msw__C
5ebm,val,6,4,1,4msw__C
5ebw,val,6,4,1,4msw__C
5ec1,val,6,4,1,4msw__C
5ec2,val,6,4,1,4msw__C
5eg1,train,197,2,1,4pl0__B
5egi,train,91,3,1,6iz3__A
5eh4,train,382,2,1,5eh4__A
5eik,train,91,3,1,6iz3__A
5eiy,train,163,2,2,4hg6__A;5eiy__B
5ej1,train,163,2,2,4hg6__A;5eiy__B
5ejz,train,163,2,2,4hg6__A;5eiy__B
5ek0,val,9,4,1,8vgl__A
5eke,train,357,4,1,5ekp__D
5ekp,train,357,4,1,5ekp__D
5er7,val,10,6,1,8iyg__A
5era,val,10,6,1,8iyg__A
5etz,test,3,3,1,8rss__A
5eul,train,0,4,4,3din__A;3din__C;3din__D;5eul__V
5f1c,train,28,3,1,5u1w__A
5f8u,train,0,2,1,7jvp__R
5fij,val,1,22,11,5ara__U;6cp6__Y;6j5i__I;6j5i__c;6rd4__S;6rd4__T;6rd4__X;8ap9__O;9b3j__H;9b3j__K;9b3j__N
5fik,val,1,22,11,5ara__U;6cp6__Y;6j5i__I;6j5i__c;6rd4__S;6rd4__T;6rd4__X;8ap9__O;9b3j__H;9b3j__K;9b3j__N
5fil,val,1,22,11,5ara__U;6cp6__Y;6j5i__I;6j5i__c;6rd4__S;6rd4__T;6rd4__X;8ap9__O;9b3j__H;9b3j__K;9b3j__N
5fl7,val,1,18,5,6rd4__S;6rd4__T;6rd4__X;8ap9__O;9b3j__H
5fn2,train,0,4,4,5a63__D;6idf__A;6idf__B;8oqy__C
5fn3,train,0,5,5,5a63__D;6idf__A;6idf__B;6ijo__X;8oqy__C
5fn5,train,0,4,4,5a63__D;6idf__A;7y5z__B;8oqy__C
5fuf,train,15,3,1,2b2f__A
5fxh,train,0,4,2,5iou__A;5iov__B
5fxi,train,0,4,2,5iou__A;5iov__B
5fxj,train,0,4,2,5iou__A;5iov__B
5fxk,train,0,4,2,5iou__A;5iov__B
5g36,test,3,3,1,8rss__A
5g53,train,0,2,2,7jvp__R;7ys6__B
5gae,train,0,32,32,1rhz__B;3din__C;3j45__T;3j45__U;3j45__Y;5gae__C;5gae__D;5gae__E;5gae__F;5gae__G;5gae__H;5gae__I;5gae__J;5gae__K;5gae__L;5gae__M;5gae__N;5gae__O;5gae__P;5gae__Q;5gae__R;5gae__S;5gae__T;5gae__W;5gae__X;5gae__Y;5gae__a;5gae__b;5gae__c;5gae__d;5gae__e;5gae__f
5gar,train,16,26,9,5gar__K;5gar__O;6ly9__N;6qum__A;6qum__H;6qum__I;6qum__L;7tmr__F;8ywt__M
5gas,train,16,26,9,5gar__K;5gar__O;6ly9__N;6qum__A;6qum__H;6qum__I;6qum__L;7tmr__F;8ywt__M
5gjv,test,5,5,5,5gjv__B;5gjv__C;6jp5__E;6jp5__F;8x90__A
5gjw,test,5,5,5,5gjv__B;5gjv__C;6jp5__E;6jp5__F;8x90__A
5gko,train,0,2,1,5lil__A
5glh,train,0,2,2,6kpc__A;6lry__B
5gpj,train,47,2,1,5lzq__A
5gth,train,0,39,20,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7n8o__V;7pi0__M;8c29__V;8eqm__t;8eqm__u;8j5k__y;8kde__D;8wb4__Z;8wb4__o;8xr6__J
5gti,train,0,39,20,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7n8o__V;7pi0__M;8c29__V;8eqm__t;8eqm__u;8j5k__y;8kde__D;8wb4__Z;8wb4__o;8xr6__J
5guf,train,511,2,1,5guf__B
5guw,train,128,4,3,3o0r__C;4xyd__A;5guw__N
5gux,train,128,2,2,3o0r__C;4xyd__A
5h1q,train,194,8,1,6kfh__A
5h1r,train,194,8,1,6kfh__A
5h2f,train,0,36,18,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7n8o__V;8c29__V;8eqm__t;8eqm__u;8kde__D;8wb4__Z;8wb4__o;8xr6__J
5h2h,test,3,3,1,8rss__A
5h2i,test,3,3,1,8rss__A
5h2j,test,3,3,1,8rss__A
5h2k,test,3,3,1,8rss__A
5h2l,test,3,3,1,8rss__A
5h2m,test,3,3,1,8rss__A
5h2n,test,3,3,1,8rss__A
5h2o,test,3,3,1,8rss__A
5h2p,test,3,3,1,8rss__A
5h35,train,140,3,1,5wuf__A
5h36,train,140,3,1,5wuf__A
5h3o,train,0,4,1,8bx7__D
5hcj,val,7,5,1,4ire__B
5hcm,val,7,5,1,4ire__B
5hd8,val,13,2,1,6lsc__B
5heg,val,7,5,1,4ire__B
5heh,val,7,5,1,4ire__B
5hej,train,0,5,1,6x3s__E
5heo,train,0,5,1,6x3s__E
5heu,train,0,5,1,6x3s__E
5hew,train,0,5,1,6x3s__E
5hi9,train,0,4,1,6u84__A
5hj8,train,67,4,1,5hk7__A
5hk6,train,67,4,1,5hk7__A
5hk7,train,67,4,1,5hk7__A
5hkd,train,67,4,1,5hk7__A
5hv9,train,20,3,1,6ssw__B
5hvd,val,9,4,1,4bgn__A
5hvx,val,9,4,1,4bgn__A
5i32,train,0,4,1,5i32__A
5i6c,train,510,2,1,5i6c__B
5i9k,train,277,3,1,5i9k__A
5ia9,train,277,3,1,5i9k__A
5id3,train,98,5,1,5id3__A
5ide,train,0,4,1,6xsr__A
5idf,train,0,4,1,6xsr__A
5iji,train,193,2,1,5iji__A
5iou,train,0,4,2,5iou__A;5iov__B
5iov,train,0,4,2,5iou__A;5iov__B
5ir6,train,358,3,3,5ir6__A;5ir6__B;5ir6__C
5irx,train,0,6,2,5irx__E;6u84__A
5irz,train,0,4,1,6u84__A
5is0,train,0,4,1,6u84__A
5itc,test,3,3,1,8rss__A
5ite,test,3,3,1,8rss__A
5iux,val,7,5,1,4ire__B
5iwk,train,0,4,1,6u84__A
5iwn,train,67,4,1,5hk7__A
5iwo,train,67,4,1,5hk7__A
5iwp,train,0,4,1,6u84__A
5iwr,train,0,4,1,6u84__A
5iws,train,192,2,1,8qsr__A
5iwt,train,0,4,1,6u84__A
5iy5,train,0,28,14,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5iy5__2;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
5j0z,val,7,5,1,4ire__B
5j4i,train,142,2,1,3ncy__B
5j4n,train,142,2,1,3ncy__B
5j7a,test,3,3,1,8rss__A
5j8v,train,263,4,1,8x4c__A
5j9p,val,6,4,1,4msw__C
5jae,train,18,2,1,6yu7__A
5jef,train,193,2,1,5iji__A
5jeq,train,193,2,1,5iji__A
5jgp,train,193,2,1,5iji__A
5jje,test,3,4,2,7zcm__B;8rss__A
5jjj,test,3,4,2,7zcm__B;8rss__A
5jjn,test,3,4,2,7zcm__B;8rss__A
5jmn,train,0,5,2,5jmn__D;7cz9__C
5jnq,train,115,2,1,5jnq__B
5jnx,train,509,7,3,5jnx__C;5jnx__D;6v3f__A
5joo,train,57,4,1,2ly0__A
5jrw,train,33,5,1,8tmj__D
5jsz,train,68,4,3,4huq__S;4rfs__T;5x3x__b
5jtg,train,33,5,1,8tmj__D
5k0i,train,20,3,1,6ssw__B
5k47,train,66,4,1,6du8__A
5k7l,train,0,8,2,5k7l__A;6e2f__E
5kaf,train,0,40,20,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7n8o__V;7pi0__M;8c29__V;8eqm__t;8eqm__u;8j5k__y;8kde__D;8wb4__Z;8wb4__o;8xr6__J
5kai,train,0,40,20,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7n8o__V;7pi0__M;8c29__V;8eqm__t;8eqm__u;8j5k__y;8kde__D;8wb4__Z;8wb4__o;8xr6__J
5kbn,train,41,2,2,5kbn__B;6bx5__C
5kbs,train,0,4,1,7rz4__A
5kbt,train,0,4,1,7rz4__A
5kbu,train,0,4,1,7rz4__A
5kbv,train,0,4,1,7rz4__A
5khn,train,356,2,1,5khn__A
5khs,train,356,2,1,5khn__A
5kk2,train,0,8,2,5kk2__F;8e93__D
5kkh,test,3,3,1,8rss__A
5kkz,train,0,6,3,3cwb__C;3cx5__D;8asi__E
5klb,val,9,4,1,8vgl__A
5klg,val,9,4,1,8vgl__A
5kli,train,0,6,3,3cwb__C;3cx5__D;8asi__E
5kls,val,9,4,1,8vgl__A
5klv,train,0,11,11,1l0l__H;1sqq__K;3cwb__C;3cx5__D;5klv__I;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
5kmd,val,9,4,1,8vgl__A
5kmf,val,9,4,1,8vgl__A
5kmh,val,9,4,1,8vgl__A
5kom,train,41,2,2,5kbn__B;6bx5__C
5kuf,train,0,4,1,6xsr__A
5kuk,train,0,4,1,2qks__A
5kum,train,0,4,1,2qks__A
5kxi,test,5,5,1,7ekp__A
5l1b,train,0,4,1,6xsr__A
5l1e,train,0,4,1,6xsr__A
5l1f,train,0,4,1,6xsr__A
5l1g,train,0,4,1,6xsr__A
5l1h,train,0,4,1,6xsr__A
5l22,train,508,2,1,5l22__A
5l24,train,73,3,1,3tij__A
5l25,train,507,2,1,5l25__B
5l26,train,73,3,1,3tij__A
5l27,train,73,3,1,3tij__A
5l2a,train,73,3,1,3tij__A
5l2b,train,73,3,1,3tij__A
5l47,val,7,5,1,4ire__B
5l4e,val,7,5,1,4ire__B
5l4h,val,7,5,1,4ire__B
5l75,train,40,4,3,5x5y__F;8frl__G;8k1o__B
5l8r,train,0,16,12,5oy0__L;6tra__E;6zzx__I;6zzy__H;7bgi__G;7blz__D;7dz7__G;7lx0__G;7s3d__F;7s3d__J;8j5k__5;8jjr__c
5lc5,train,0,38,37,5lc5__G;5lc5__O;5lc5__X;5lc5__Z;5lc5__b;5lc5__d;5lc5__h;5lc5__i;5lc5__n;5lc5__o;5lc5__p;5lnk__A;5xtc__S;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;7a23__a;7ar7__M;7ard__I;7ard__T;7b93__J;7b93__V;7o6y__f;7qsk__f;7zm7__H;7zm7__K;7zmb__h;8ba0__N;8ba0__W;8ba0__g;8olt__Y;8qby__C;8qby__F;8xnt__R
5ldw,train,0,38,37,5lc5__G;5lc5__O;5lc5__X;5lc5__Z;5lc5__b;5lc5__d;5lc5__h;5lc5__i;5lc5__n;5lc5__o;5lc5__p;5lnk__A;5xtc__S;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;7a23__a;7ar7__M;7ard__I;7ard__T;7b93__J;7b93__V;7o6y__f;7qsk__f;7zm7__H;7zm7__K;7zmb__h;8ba0__N;8ba0__W;8ba0__g;8olt__Y;8qby__C;8qby__F;8xnt__R
5ldx,train,0,38,37,5lc5__G;5lc5__O;5lc5__X;5lc5__Z;5lc5__b;5lc5__d;5lc5__h;5lc5__i;5lc5__n;5lc5__o;5lc5__p;5lnk__A;5xtc__S;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;7a23__a;7ar7__M;7ard__I;7ard__T;7b93__J;7b93__V;7o6y__f;7qsk__f;7zm7__H;7zm7__K;7zmb__h;8ba0__N;8ba0__W;8ba0__g;8olt__Y;8qby__C;8qby__F;8xnt__R
5lg3,train,0,5,1,6x3s__E
5lid,train,0,5,1,6x3s__E
5lil,train,0,2,1,5lil__A
5lj6,train,0,2,1,5lil__A
5lj7,train,0,2,1,5lil__A
5lki,train,506,5,1,5lki__A
5llu,train,0,3,1,9bh0__A
5lnk,train,0,44,43,5lnk__A;5lnk__Y;5lnk__k;5xtc__S;5xtc__U;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ar8__P;7ard__I;7ard__T;7b93__J;7b93__V;7b93__Z;7b93__n;7o6y__f;7qsd__i;7qsk__f;7qsk__j;7qsk__s;7qso__h;7v2c__d;7v2c__v;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8ba0__k;8ba0__l;8qby__C;8qby__F;8xo0__R
5lq3,train,0,3,1,7cz9__C
5lqx,val,1,24,11,5lqx__I;5lqx__V;5lqx__W;5lqx__Y;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;6z1r__J;8ap9__O;9b3j__H
5lqy,val,1,24,11,5lqx__I;5lqx__V;5lqx__W;5lqx__Y;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;6z1r__J;8ap9__O;9b3j__H
5lqz,val,1,24,11,5lqx__I;5lqx__V;5lqx__W;5lqx__Y;6cp6__Y;6rd4__S;6rd4__T;6rd4__X;6z1r__J;8ap9__O;9b3j__H
5lri,test,2,3,2,1aig__L;8zk2__H
5lse,test,2,3,2,1aig__L;8zk2__H
5luf,train,0,40,28,1be3__K;1bgy__E;1fft__A;1l0l__H;1occ__B;1occ__G;1occ__I;1occ__L;3cwb__C;3cx5__D;4d6u__I;5luf__B;5luf__G;5luf__I;5z62__J;7jrg__A;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J;8q1b__f;8q1b__j
5lv6,train,276,2,1,2ks1__B
5lwe,train,0,2,1,7jvp__R
5lzq,train,47,2,1,5lzq__A
5lzr,train,47,2,1,5lzq__A
5m7j,test,2,4,3,1aig__L;7c9r__C;8zk2__H
5m7k,test,2,4,3,1aig__L;7c9r__C;8zk2__H
5m7l,test,2,4,3,1aig__L;7c9r__C;8zk2__H
5m94,train,262,2,1,5m94__A
5m95,train,262,2,1,5m94__A
5mdx,train,0,50,17,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7pi0__M;8c29__w;8eqm__t;8j5k__5;8kde__D;8wb4__Z;8wb4__o
5mg3,train,0,6,6,1rhz__B;3din__C;3wvf__A;5mg3__D;5mg3__F;5mg3__G
5mju,train,0,3,1,9bh0__A
5mke,train,66,4,1,6du8__A
5mkf,train,66,4,1,6du8__A
5mkk,test,4,2,1,3qf4__A
5mrw,train,51,4,4,5mrw__A;7bgy__C;7bgy__D;7zrk__B
5mtf,train,145,3,1,3odj__A
5muo,val,7,5,1,4ire__B
5mur,val,7,5,1,4ire__B
5mvm,val,7,5,1,4ire__B
5mvn,val,7,5,1,4ire__B
5mx2,train,0,40,20,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5mx2__Y;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7n8o__V;7pi0__M;8eqm__t;8eqm__u;8j5k__y;8kde__D;8wb4__Z;8wb4__o;8xr6__J
5mzq,val,7,5,1,4ire__B
5mzr,val,7,5,1,4ire__B
5mzt,val,7,5,1,4ire__B
5n9y,train,355,5,1,7nh9__A
5nbd,train,195,2,1,5c73__C
5nc5,train,0,8,3,4c48__C;5jmn__D;7cz9__C
5ndc,train,23,3,3,1ehk__C;1xme__A;7deg__E
5nf8,train,505,2,1,5nf8__B
5ng5,train,0,15,4,4c48__C;5ng5__E;5ng5__F;7cz9__C
5nik,train,0,11,3,5lil__A;5ng5__F;5nik__D
5nil,train,0,11,3,5lil__A;5ng5__F;5nik__D
5nj3,train,0,2,1,8bi0__B
5nj4,test,2,4,3,1aig__L;7c9r__C;8zk2__H
5njg,train,504,2,1,5njg__B
5njy,val,7,5,1,4ire__B
5nkj,val,7,5,1,4ire__B
5nl2,train,226,2,1,8bc1__B
5nmi,train,0,22,12,1be3__K;1bgy__E;1l0l__H;3cwb__C;3cx5__D;4d6u__I;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
5o31,train,0,41,40,5lc5__b;5lc5__i;5lc5__o;5lc5__p;5lnk__A;5lnk__Y;5lnk__k;5o31__Z;5xtc__S;6g2j__K;6rfq__1;6u8y__l;6zka__l;6zka__p;6zka__x;6zr2__r;7a23__a;7ar7__M;7ar7__Q;7ard__I;7ard__T;7b93__J;7b93__V;7b93__n;7o6y__f;7qsk__f;7qsk__s;7qso__h;7zm7__H;7zm7__K;7zmb__h;8ba0__G;8ba0__N;8ba0__W;8ba0__d;8ba0__g;8olt__Y;8qby__C;8qby__F;8xo0__R
5o4c,test,2,4,3,1aig__L;7c9r__C;8zk2__H
5o5e,train,191,2,1,5o5e__A
5o64,test,2,4,3,1aig__L;7c9r__C;8zk2__H
5o66,train,0,15,4,4c48__C;5ng5__E;5ng5__F;7cz9__C
5o8f,train,0,5,1,6x3s__E
5o9h,train,0,2,1,7xjj__E
5oc9,train,190,2,1,5oc9__A
5och,test,4,2,1,7zo8__A
5ofp,train,197,2,1,4pl0__B
5ofr,train,197,2,1,4pl0__B
5ogk,train,354,2,1,5oge__A
5ojm,train,0,5,1,6x3s__E
5okd,train,0,10,10,1l0l__H;3cwb__C;3cx5__D;5okd__I;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
5oqt,train,353,2,2,5oqt__A;6f34__C
5osa,val,7,5,1,4ire__B
5osb,val,7,5,1,4ire__B
5osc,val,7,5,1,4ire__B
5oy0,train,0,33,10,1jb0__M;5oy0__L;6tra__E;6zzx__I;7blz__D;7lx0__G;7s3d__F;7s3d__J;7y8a__K;8jjr__c
5oyb,train,35,2,1,5oyb__A
5oyg,train,35,2,1,5oyb__A
5prc,test,2,4,3,1aig__L;7c9r__C;8zk2__H
5sv0,train,97,5,1,8vlw__A
5sv1,train,97,6,2,5zfu__G;8vlw__A
5sv9,train,503,2,1,5sv9__B
5svj,train,28,3,1,5u1w__A
5svk,train,28,3,1,5u1w__A
5svl,train,28,3,1,5u1w__A
5svm,train,28,3,1,5u1w__A
5svp,train,28,3,1,5u1w__A
5svq,train,28,3,1,5u1w__A
5svr,train,28,3,1,5u1w__A
5svs,train,28,3,1,5u1w__A
5svt,train,28,3,1,5u1w__A
5sxu,train,0,5,1,6x3s__E
5sxv,train,0,5,1,6x3s__E
5sy1,train,0,4,2,5sy1__B;6e2f__E
5t0o,train,0,3,1,7cz9__C
5t36,train,20,3,1,6ssw__B
5t37,train,20,3,1,6ssw__B
5t4d,train,66,4,1,6du8__A
5t4o,val,1,22,8,1a91__A;6oqr__W;6rd4__S;6rd4__T;6rd4__X;7p2y__p;8j0t__a;9itj__R
5t4p,val,1,22,8,1a91__A;6oqr__W;6rd4__S;6rd4__T;6rd4__X;7p2y__p;8j0t__a;9itj__R
5t4q,val,1,22,8,1a91__A;6oqr__W;6rd4__S;6rd4__T;6rd4__X;7p2y__p;8j0t__a;9itj__R
5t5n,train,19,5,1,9dyi__E
5te3,train,0,2,1,8y01__R
5tin,train,0,5,1,6x3s__E
5tio,train,0,5,1,6x3s__E
5tis,train,0,40,20,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7n8o__V;7pi0__M;8c29__V;8eqm__t;8eqm__u;8j5k__y;8kde__D;8wb4__Z;8wb4__o;8xr6__J
5tj5,train,16,13,5,5tj5__A;5tj5__P;6m0r__D;6wlw__0;8eau__e
5tj6,train,26,4,1,6v35__A
5tji,train,26,4,1,6v35__A
5tl9,train,20,3,1,6ssw__B
5tqq,train,61,2,1,8ta4__A
5tr1,train,61,2,1,8ta4__A
5tsj,train,16,26,9,5gar__K;5gar__O;6ly9__N;6qum__A;6qum__H;6qum__I;6qum__L;7tmr__F;8ywt__M
5ttc,train,57,4,1,2ly0__A
5ttp,test,4,2,1,7zo8__A
5tua,train,0,2,1,7fhk__A
5tv4,test,4,2,1,7zo8__A
5twv,train,0,8,2,2qks__A;8wi0__A
5u1d,train,125,3,2,5u1d__B;5u1d__X
5u1l,train,28,3,1,5u1w__A
5u1u,train,28,3,1,5u1w__A
5u1v,train,28,3,1,5u1w__A
5u1w,train,28,3,1,5u1w__A
5u1x,train,28,3,1,5u1w__A
5u1y,train,28,3,1,5u1w__A
5u6o,train,46,4,1,8t4m__D
5u6p,train,46,4,1,8t4m__D
5u70,train,352,4,1,5u70__A
5u76,train,352,4,1,5u70__A
5u9w,train,73,3,1,3tij__A
5uhq,train,227,2,1,4rng__A
5uhs,train,227,2,1,4rng__A
5uiw,train,0,2,2,7f1t__A;8jps__D
5uk6,test,3,3,1,8rss__A
5ul7,train,24,2,1,8y5u__A
5ul9,train,24,2,1,8y5u__A
5uld,train,24,2,1,8y5u__A
5ule,train,24,2,1,8y5u__A
5um1,train,57,4,1,2ly0__A
5un1,train,0,4,1,8e93__D
5uni,train,198,4,2,4o93__A;4o93__B
5uow,train,0,4,2,5iou__A;5iov__B
5up2,train,0,4,2,5iou__A;5iov__B
5uz7,train,0,4,4,7ad3__F;7ys6__B;8ddx__J;8flt__R
5v2c,train,0,38,19,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7n8o__V;7pi0__M;8c29__V;8eqm__t;8eqm__u;8kde__D;8wb4__Z;8wb4__o;8xr6__J
5v33,test,2,3,2,1aig__L;8zk2__H
5v4s,train,55,4,1,5v4s__A
5v5s,train,0,12,3,5ng5__E;5ng5__F;7cz9__C
5v6n,val,7,5,1,4ire__B
5v6o,val,7,5,1,4ire__B
5v6p,train,189,2,1,6vjy__B
5v7p,train,41,2,2,5vg9__A;6bx5__C
5v8k,train,502,4,2,5v8k__C;5v8k__D
5va1,train,261,4,1,5va1__A
5va2,train,261,4,1,5va1__A
5va3,train,261,4,1,5va1__A
5vai,train,0,5,5,5vai__P;7ad3__F;7ys6__B;8ddx__J;8flt__R
5vb2,val,9,4,1,8vgl__A
5vb8,val,9,4,1,8vgl__A
5vbl,train,0,2,2,5vbl__A;7jvp__R
5vdh,train,0,5,1,6x3s__E
5vdi,train,0,5,1,6x3s__E
5vhw,train,0,4,1,6xsr__A
5vhx,train,0,5,2,5vhx__E;6xsr__A
5vhy,train,0,6,2,5vhx__E;6xsr__A
5vhz,train,0,6,2,5vhx__E;6xsr__A
5vk6,val,6,4,1,4msw__C
5vke,val,6,4,1,4msw__C
5vkh,val,6,4,1,4msw__C
5vkq,train,501,4,1,5vkq__A
5vms,train,0,8,2,6e2f__E;7cr7__A
5vn7,test,3,2,1,8rss__A
5vot,train,0,8,2,5kk2__F;8e93__D
5vou,train,0,8,2,5kk2__F;8e93__D
5vov,train,0,8,2,5kk2__F;8e93__D
5vox,train,16,32,14,5gar__K;5vox__P;6m0r__D;6pe4__A;6qum__A;6vq6__L;6wlw__0;6wm2__Y;6wm4__O;7fda__G;7fda__H;7tmr__F;8eau__d;8eau__e
5voy,train,16,32,14,5gar__K;5vox__P;6m0r__D;6pe4__A;6qum__A;6vq6__L;6wlw__0;6wm2__Y;6wm4__O;7fda__G;7fda__H;7tmr__F;8eau__d;8eau__e
5voz,train,16,32,14,5gar__K;5vox__P;6m0r__D;6pe4__A;6qum__A;6vq6__L;6wlw__0;6wm2__Y;6wm4__O;7fda__G;7fda__H;7tmr__F;8eau__d;8eau__e
5vpn,val,11,8,4,1kf6__C;1kf6__D;4ysx__A;5xmj__N
5vre,train,500,4,1,5vre__A
5vrf,train,103,2,1,3h90__A
5w3s,train,37,4,1,7dys__A
5w97,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
5wau,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
5wb2,train,0,2,2,4xt3__B;5wb2__A
5weh,train,0,4,4,1fft__A;1occ__B;7ate__D;7jro__c
5wek,train,0,4,2,6xsr__A;7rz4__A
5wel,train,0,4,2,6xsr__A;7rz4__A
5wem,train,0,4,2,6xsr__A;7rz4__A
5wen,train,0,4,2,6xsr__A;7rz4__A
5weo,train,0,4,1,7rz4__A
5wie,val,6,8,2,5wie__B;7wf3__C
